Name	Description	Postpone	APT	Chocolatey	Homebrew	NPM	Pipx	WMIC	Env	PathLinux	PathMacOS	PathWindows
GoogleChromeWebDriver	Google Chrome Web Driver	0			chromedriver				CHROMEWEBDRIVER, CHROMEDRIVER_DIR	/usr/bin/chromedriver, /usr/local/share/chrome_driver	/usr/local/Caskroom/chromedriver	C:\SeleniumWebDrivers\ChromeDriver
GoogleCloudSDK	Google Cloud SDK	0	google-cloud-sdk		google-cloud-sdk					/usr/bin/gcloud*, /usr/lib/google-cloud-sdk, /usr/share/google-cloud-sdk		
Gradle	Gradle	0		gradle	gradle					/usr/bin/gradle, /usr/share/gradle-*		
Grunt	Grunt	0			grunt-cli	grunt-cli, grunt				/usr/local/lib/node_modules/grunt-cli, /usr/local/lib/node_modules/grunt		
Gulp	Gulp	0			gulp-cli	gulp-cli, gulp				/usr/local/lib/node_modules/gulp-cli, /usr/local/lib/node_modules/gulp		
HaskellGHC	Haskell GHC	0								/opt/ghc, /usr/local/.ghcup/ghc	/Users/runner/.ghcup	
Heroku	Heroku	0								/usr/local/lib/heroku	/usr/local/lib/heroku	
HHVM	HipHop Virtual Machine	0	hhvm									
IIS	IIS	0										C:\Program Files (x86)\IIS Express, C:\Program Files (x86)\IIS
ImageMagick	ImageMagick	0	imagemagick, ^imagemagick-.*									
InnoSetup	Inno Setup	0										C:\Program Files (x86)\Inno Setup*
Java/11	Java 11	0	temurin-11-jdk					Microsoft Build of OpenJDK with Hotspot 11.0.16.1+1 (x64)	JAVA_HOME_11_X64	$Env:AGENT_TOOLSDIRECTORY/Java_*_jdk/11.*, /opt/hostedtoolcache/Java_*_jdk/11.*, /usr/lib/jvm/*-11-*-*	$Env:AGENT_TOOLSDIRECTORY/Java_*_jdk/11.*, /Users/runner/hostedtoolcache/Java_*_jdk/11.*	$Env:AGENT_TOOLSDIRECTORY\Java_*_jdk\11.*
Java/13	Java 13	0							JAVA_HOME_13_X64	$Env:AGENT_TOOLSDIRECTORY/Java_*_jdk/13.*, /opt/hostedtoolcache/Java_*_jdk/13.*, /usr/lib/jvm/*-13-*-*	$Env:AGENT_TOOLSDIRECTORY/Java_*_jdk/13.*, /Users/runner/hostedtoolcache/Java_*_jdk/13.*	$Env:AGENT_TOOLSDIRECTORY\Java_*_jdk\13.*
Java/17	Java 17	0	temurin-17-jdk						JAVA_HOME_17_X64	$Env:AGENT_TOOLSDIRECTORY/Java_*_jdk/17.*, /opt/hostedtoolcache/Java_*_jdk/17.*, /usr/lib/jvm/*-17-*-*	$Env:AGENT_TOOLSDIRECTORY/Java_*_jdk/17.*, /Users/runner/hostedtoolcache/Java_*_jdk/17.*	$Env:AGENT_TOOLSDIRECTORY\Java_*_jdk\17.*
Java/8	Java 8	0	temurin-8-jdk						JAVA_HOME_8_X64	$Env:AGENT_TOOLSDIRECTORY/Java_*_jdk/8.*, /opt/hostedtoolcache/Java_*_jdk/8.*, /usr/lib/jvm/*-8-*-*	$Env:AGENT_TOOLSDIRECTORY/Java_*_jdk/8.*, /Users/runner/hostedtoolcache/Java_*_jdk/8.*	$Env:AGENT_TOOLSDIRECTORY\Java_*_jdk\8.*
Java/All	Java (All)	1	^java-.*, .*-jdk$						JAVA_HOME	$Env:AGENT_TOOLSDIRECTORY/Java_*_jdk, /opt/hostedtoolcache/Java_*_jdk, /usr/lib/jvm	$Env:AGENT_TOOLSDIRECTORY/Java_*_jdk, /Users/runner/hostedtoolcache/Java_*_jdk	$Env:AGENT_TOOLSDIRECTORY\Java_*_jdk
Julia	Julia	0		julia	julia					/usr/local/julia*, /usr/bin/julia	/Applications/Julia*.app	
Kotlin	Kotlin	0			kotlin					/usr/share/kotlinc		
Leiningen	Leiningen	0							LEIN_HOME	/usr/local/bin/lein		
Lerna	Lerna	0			lerna	lerna				/usr/local/lib/node_modules/lerna		
